Interaction ID,Timestamp,User Query,Intent Detected,Bot Response,Response Time (ms),Prediction Accuracy (%),Entity Extraction Accuracy (%),User Sentiment,User Feedback,Conversation Success,User ID,User Type,Region,Device Type,Account Age (months),Is Premium,NPS_Score,NPS_Category
37,2020-10-12 17:17,Any news on MSFT?,Cryptocurrency Update,MSFT shows growth potential.,180,89,91,Positive,Helpful,Successful,U10164,Institutional,Europe,Tablet,53,False,10,Promoter
38,2024-09-06 14:45,What's the price of AAPL now?,Sentiment Analysis,AAPL stock remains steady.,185,88,92,Positive,Helpful,Successful,U10218,Retail,Asia,Desktop,57,False,10,Promoter
39,2022-05-19 13:54,Market outlook for Tesla?,Buy Order,Tesla shows bullish signs.,190,87,93,Negative,Needs improvement,Failed,U10158,Retail,Middle East,Desktop,39,True,3,Detractor
40,2024-11-27 10:08,Market outlook for XAU?,Strategy Advice,Gold prices are increasing.,195,86,94,Neutral,Needs improvement,Failed,U10033,Retail,South America,Mobile,58,False,7,Passive
41,2023-01-09 11:44,Should I diversify with BTC?,Trading Bot Query,"BTC is bullish, buying recommended.",150,95,90,Negative,Needs improvement,Failed,U10086,VIP,Asia,Mobile,36,False,3,Detractor
42,2021-04-05 14:53,Any news on ETH?,Financial Advice,ETH is showing a downward trend.,155,94,91,Positive,Helpful,Successful,U10090,Institutional,Europe,Desktop,49,True,10,Promoter
43,2021-11-13 16:09,Analysis of Bonds?,Financial Advice,Bond yields are increasing.,160,93,92,Negative,Needs improvement,Failed,U10014,Retail,South America,Mobile,53,True,3,Detractor
44,2024-11-09 15:24,Market outlook for WTI?,Market Analysis,WTI is showing high volatility.,165,92,93,Positive,Helpful,Successful,U10125,Retail,Europe,Desktop,30,False,10,Promoter
45,2023-02-21 10:25,What's the trend with Equities?,Trading Bot Query,Equities are gaining after recent selloff.,170,91,94,Positive,Helpful,Successful,U10238,Retail,Middle East,Mobile,57,True,10,Promoter
46,2024-12-09 14:29,Should I buy or sell GBP?,Sell Order,GBP trends show minor fluctuations.,175,90,90,Positive,Helpful,Successful,U10137,Retail,South America,Mobile,48,False,10,Promoter
47,2023-06-19 09:55,What's the price of SPX now?,Portfolio Management,SPX shows mixed market signals.,180,89,91,Positive,Helpful,Successful,U10033,Retail,South America,Mobile,58,False,10,Promoter
48,2020-12-15 14:54,Any news on ETH?,Price Check,ETH is showing a downward trend.,185,88,92,Positive,Helpful,Successful,U10271,Institutional,Europe,Tablet,37,False,10,Promoter
49,2020-09-13 12:27,What's the trend with AAPL?,Strategy Advice,AAPL stock remains steady.,190,87,93,Negative,Needs improvement,Failed,U10179,VIP,Middle East,Tablet,16,False,3,Detractor
50,2021-08-09 14:53,Is Bonds safe to invest in?,Sell Order,Bond yields are increasing.,195,86,94,Positive,Helpful,Successful,U10004,Institutional,North America,Desktop,45,False,10,Promoter
51,2022-06-18 11:36,What's your take on AAPL?,Strategy Advice,AAPL stock remains steady.,150,95,90,Negative,Needs improvement,Failed,U10154,Retail,North America,Mobile,10,False,3,Detractor
52,2023-06-22 09:02,What's your take on XAU?,Forex Analysis,Gold prices are increasing.,155,94,91,Neutral,Needs improvement,Failed,U10072,Retail,Africa,Desktop,56,False,7,Passive
53,2020-11-26 16:01,Should I buy or sell EUR?,Portfolio Management,EUR is holding steady.,160,93,92,Negative,Needs improvement,Failed,U10043,Institutional,Middle East,Mobile,42,False,3,Detractor
54,2020-03-15 16:00,What's your take on AAPL?,Buy Order,AAPL earnings beat expectations.,165,92,93,Positive,Helpful,Successful,U10128,Retail,Middle East,Desktop,6,True,10,Promoter
55,2023-04-23 11:56,What's the price of GBP now?,Financial Advice,GBP is gaining against EUR.,170,91,94,Positive,Helpful,Successful,U10184,Retail,South America,Mobile,42,False,10,Promoter
56,2022-03-28 13:05,Should I buy or sell Commodities?,Financial Advice,Commodities show strong demand.,175,90,90,Negative,Needs improvement,Failed,U10072,Retail,Africa,Desktop,56,False,3,Detractor
57,2022-05-03 14:42,What's your take on SPX?,Future Investment,SPX is trending upward.,180,89,91,Positive,Helpful,Successful,U10124,Retail,Europe,Desktop,53,False,10,Promoter
58,2021-01-13 13:46,Analysis of MSFT?,Strategy Advice,MSFT outlook is positive this quarter.,185,88,92,Positive,Helpful,Successful,U10199,Retail,Africa,Desktop,18,True,10,Promoter
59,2021-07-21 10:45,How is SPX trending today?,Forex Analysis,SPX is trending upward.,190,87,93,Negative,Needs improvement,Failed,U10025,Retail,North America,Desktop,54,False,3,Detractor
60,2020-01-07 16:04,Market outlook for Gold?,Price Check,Gold is up due to inflation concerns.,195,86,94,Positive,Helpful,Successful,U10292,Retail,South America,Mobile,25,True,10,Promoter
61,2021-10-08 17:43,What's the trend with SPX?,Market Analysis,SPX shows mixed market signals.,150,95,90,Positive,Helpful,Successful,U10020,Institutional,South America,Mobile,5,False,10,Promoter
62,2023-01-01 14:52,Analysis of Bonds?,Price Check,Bonds remain a safe haven.,155,94,91,Positive,Helpful,Successful,U10157,Institutional,Africa,Mobile,32,False,10,Promoter
63,2020-07-23 11:30,Should I buy or sell NASDAQ?,Market Analysis,NASDAQ shows investor optimism.,160,93,92,Positive,Helpful,Successful,U10152,Retail,Europe,Desktop,5,False,10,Promoter
64,2020-04-13 10:46,Analysis of GOOGL?,Market Analysis,GOOGL stock is slightly volatile.,165,92,93,Negative,Needs improvement,Failed,U10296,Retail,Middle East,Mobile,54,True,3,Detractor
65,2020-02-11 14:56,Any news on Forex?,Buy Order,Forex shows balanced trading.,170,91,94,Positive,Helpful,Successful,U10166,Retail,Asia,Tablet,43,False,10,Promoter
66,2022-03-13 11:41,Give me an update on Tesla.,Future Investment,Tesla shows bullish signs.,175,90,90,Positive,Helpful,Successful,U10117,Retail,South America,Mobile,14,False,10,Promoter
67,2021-02-17 09:39,Market outlook for Commodities?,Strategy Advice,Commodities show strong demand.,180,89,91,Positive,Helpful,Successful,U10141,Retail,Africa,Mobile,45,False,10,Promoter
68,2021-08-12 12:40,Market outlook for XAU?,Strategy Advice,Gold prices are increasing.,185,88,92,Negative,Needs improvement,Failed,U10190,Institutional,Europe,Desktop,58,True,3,Detractor
69,2021-07-20 16:55,Should I diversify with Bonds?,Strategy Advice,Bonds remain a safe haven.,190,87,93,Positive,Helpful,Successful,U10294,Retail,Europe,Desktop,16,False,10,Promoter
70,2021-02-04 11:48,What's your take on AAPL?,Price Check,AAPL earnings beat expectations.,195,86,94,Negative,Needs improvement,Failed,U10076,Retail,Middle East,Tablet,18,False,3,Detractor
71,2020-10-24 15:22,What's your take on NASDAQ?,Price Check,NASDAQ shows investor optimism.,150,95,90,Positive,Helpful,Successful,U10004,Institutional,North America,Desktop,45,False,10,Promoter
72,2023-06-26 11:15,Should I diversify with USD?,Buy Order,USD is strengthening against other currencies.,155,94,91,Positive,Helpful,Successful,U10236,Retail,Asia,Mobile,33,False,10,Promoter
73,2022-11-03 12:35,What's your take on Gold?,Forex Analysis,Gold is up due to inflation concerns.,160,93,92,Negative,Needs improvement,Failed,U10103,Retail,North America,Mobile,27,False,3,Detractor
74,2024-10-24 13:49,How is ETH trending today?,Buy Order,ETH trading volume is decreasing.,165,92,93,Positive,Helpful,Successful,U10219,Retail,Asia,Mobile,18,True,10,Promoter
75,2020-11-10 12:33,Is WTI safe to invest in?,Future Investment,WTI is showing high volatility.,170,91,94,Negative,Needs improvement,Failed,U10188,Retail,North America,Desktop,59,True,3,Detractor
76,2024-09-07 15:18,Market outlook for EUR?,Price Check,EUR is showing mild weakness today.,175,90,90,Positive,Helpful,Successful,U10231,Retail,Asia,Tablet,3,False,10,Promoter
77,2020-04-16 15:07,Analysis of MSFT?,Stock Prediction,MSFT outlook is positive this quarter.,180,89,91,Positive,Helpful,Successful,U10220,Retail,Europe,Tablet,55,False,10,Promoter
78,2021-08-21 10:33,Market outlook for Forex?,Cryptocurrency Update,Forex markets favor USD today.,185,88,92,Negative,Needs improvement,Failed,U10099,VIP,Europe,Mobile,56,False,3,Detractor
79,2020-06-11 11:24,Analysis of Forex?,Financial Advice,Forex markets favor USD today.,190,87,93,Neutral,Needs improvement,Failed,U10013,Retail,Africa,Desktop,36,True,7,Passive
80,2024-07-12 17:43,How is SPX trending today?,Sell Order,SPX shows mixed market signals.,195,86,94,Positive,Helpful,Successful,U10163,Retail,Europe,Mobile,11,False,10,Promoter
81,2021-08-25 10:01,Market outlook for Gold?,Stock Prediction,Gold is up due to inflation concerns.,150,95,90,Positive,Helpful,Successful,U10244,VIP,North America,Mobile,20,False,10,Promoter
82,2024-02-01 13:13,How is Tesla trending today?,Forex Analysis,Tesla shows bullish signs.,155,94,91,Positive,Helpful,Successful,U10052,VIP,Asia,Mobile,3,False,10,Promoter
83,2020-01-26 15:32,What is your prediction for MSFT?,Strategy Advice,MSFT shows growth potential.,160,93,92,Negative,Needs improvement,Failed,U10233,Retail,Asia,Mobile,44,True,3,Detractor
84,2022-11-23 17:49,Should I buy or sell SPX?,Portfolio Management,SPX is trending upward.,165,92,93,Positive,Helpful,Successful,U10139,Retail,South America,Mobile,7,False,10,Promoter
85,2023-07-23 15:05,Give me an update on Forex.,Forex Analysis,Forex markets favor USD today.,170,91,94,Negative,Needs improvement,Failed,U10208,VIP,Europe,Desktop,52,True,3,Detractor
86,2024-09-20 11:17,What's your take on SPX?,Price Check,SPX shows mixed market signals.,175,90,90,Neutral,Needs improvement,Failed,U10189,Retail,North America,Tablet,49,False,7,Passive
87,2020-05-03 17:58,Should I diversify with ETH?,Market Analysis,ETH is showing a downward trend.,180,89,91,Positive,Helpful,Successful,U10243,Institutional,Europe,Desktop,49,False,10,Promoter
88,2021-03-18 14:25,Is AAPL safe to invest in?,Risk Analysis,AAPL earnings beat expectations.,185,88,92,Positive,Helpful,Successful,U10018,Retail,Middle East,Mobile,15,False,10,Promoter
89,2024-11-25 10:19,What's the price of Forex now?,Buy Order,Forex shows balanced trading.,190,87,93,Positive,Helpful,Successful,U10232,VIP,South America,Mobile,42,False,10,Promoter
90,2023-12-28 12:03,How is Forex trending today?,Technical Analysis,Forex markets favor USD today.,195,86,94,Positive,Helpful,Successful,U10137,Retail,South America,Mobile,48,False,10,Promoter
91,2021-02-14 10:29,What's your take on Gold?,Strategy Advice,Investors are flocking to Gold.,150,95,90,Neutral,Needs improvement,Failed,U10088,Retail,Europe,Mobile,31,False,7,Passive
92,2024-10-02 13:42,How is Oil trending today?,Strategy Advice,Oil shows demand increase.,155,94,91,Positive,Helpful,Successful,U10013,Retail,Africa,Desktop,36,True,10,Promoter
93,2021-02-01 11:44,Analysis of Equities?,Cryptocurrency Update,Equities are gaining after recent selloff.,160,93,92,Positive,Helpful,Successful,U10059,VIP,South America,Mobile,53,False,10,Promoter
94,2020-03-16 14:33,What is your prediction for NASDAQ?,Risk Analysis,NASDAQ shows investor optimism.,165,92,93,Negative,Needs improvement,Failed,U10012,Retail,Asia,Mobile,16,True,3,Detractor
95,2024-12-09 11:23,What is your prediction for Equities?,Market Analysis,Equities are gaining after recent selloff.,170,91,94,Neutral,Needs improvement,Failed,U10280,Retail,Europe,Mobile,34,False,7,Passive
96,2021-12-25 13:46,How is Forex trending today?,Future Investment,Forex markets favor USD today.,175,90,90,Positive,Helpful,Successful,U10154,Retail,North America,Mobile,10,False,10,Promoter
97,2020-01-11 15:17,What's the price of GOOGL now?,Buy Order,GOOGL remains a solid long-term pick.,180,89,91,Positive,Helpful,Successful,U10296,Retail,Middle East,Mobile,54,True,10,Promoter
98,2024-02-09 10:31,What's the trend with Oil?,Buy Order,Oil shows demand increase.,185,88,92,Negative,Needs improvement,Failed,U10162,VIP,Europe,Desktop,6,False,3,Detractor
99,2023-09-12 09:31,Should I buy or sell USD?,Buy Order,USD remains stable.,190,87,93,Negative,Needs improvement,Failed,U10075,Institutional,Middle East,Mobile,43,True,3,Detractor
100,2024-03-12 11:16,What's your take on ETH?,Financial Advice,ETH trading volume is decreasing.,195,86,94,Positive,Helpful,Successful,U10225,Institutional,North America,Mobile,56,True,10,Promoter
101,2020-10-22 10:14,How is Gold trending today?,Sentiment Analysis,Gold is up due to inflation concerns.,150,95,90,Positive,Helpful,Successful,U10057,Retail,Africa,Desktop,57,True,10,Promoter
102,2024-01-02 09:15,What's the trend with SPX?,Forex Analysis,SPX is trending upward.,155,94,91,Positive,Helpful,Successful,U10107,Institutional,Middle East,Mobile,48,False,10,Promoter
103,2020-08-12 15:58,Any news on Equities?,Sell Order,Equities are gaining after recent selloff.,160,93,92,Positive,Helpful,Successful,U10234,Institutional,Europe,Desktop,21,False,10,Promoter
104,2021-03-28 09:35,What's the trend with Oil?,Financial Advice,Oil shows demand increase.,165,92,93,Positive,Helpful,Successful,U10259,Retail,North America,Desktop,12,True,10,Promoter
105,2023-04-11 12:26,Analysis of Oil?,Cryptocurrency Update,Oil prices are rising.,170,91,94,Positive,Helpful,Successful,U10099,VIP,Europe,Mobile,56,False,10,Promoter
106,2022-05-27 10:36,Should I diversify with XAU?,Risk Analysis,XAU indicates investor confidence.,175,90,90,Positive,Helpful,Successful,U10037,Retail,Asia,Desktop,57,False,10,Promoter
107,2022-02-17 09:11,Any news on USD?,Stock Prediction,USD remains stable.,180,89,91,Positive,Helpful,Successful,U10110,Retail,North America,Desktop,2,False,10,Promoter
108,2021-09-02 15:04,Give me an update on USD.,Market Analysis,USD is strengthening against other currencies.,185,88,92,Neutral,Needs improvement,Failed,U10266,Institutional,South America,Mobile,50,True,7,Passive
109,2023-05-25 13:20,How is Bonds trending today?,Price Check,Bonds remain a safe haven.,190,87,93,Positive,Helpful,Successful,U10222,Retail,North America,Mobile,55,False,10,Promoter
110,2020-09-15 09:23,What is your prediction for GOOGL?,Cryptocurrency Update,GOOGL stock is slightly volatile.,195,86,94,Positive,Helpful,Successful,U10268,Retail,Africa,Desktop,10,True,10,Promoter
111,2021-05-19 13:47,What's your take on Crypto?,Stock Prediction,Volatility remains high in crypto.,150,95,90,Positive,Helpful,Successful,U10115,Retail,South America,Desktop,42,True,10,Promoter
112,2024-04-15 14:37,What's the price of BTC now?,Forex Analysis,BTC shows positive momentum today.,155,94,91,Positive,Helpful,Successful,U10292,Retail,South America,Mobile,25,True,10,Promoter
113,2023-04-24 17:48,What's your take on GOOGL?,Stock Prediction,GOOGL stock is slightly volatile.,160,93,92,Negative,Needs improvement,Failed,U10148,Retail,Asia,Mobile,37,False,3,Detractor
114,2021-03-01 15:01,What's the price of USD now?,Sell Order,USD remains stable.,165,92,93,Positive,Helpful,Successful,U10149,Institutional,South America,Tablet,14,False,10,Promoter
115,2021-09-12 09:21,Analysis of Tesla?,Forex Analysis,Tesla stock remains volatile.,170,91,94,Positive,Helpful,Successful,U10277,Retail,Africa,Mobile,13,False,10,Promoter
116,2020-11-13 13:06,Market outlook for Commodities?,Investment Planning,Commodities show strong demand.,175,90,90,Negative,Needs improvement,Failed,U10155,Institutional,North America,Mobile,20,False,3,Detractor
117,2021-09-08 15:31,Analysis of Bonds?,Financial Advice,Bonds remain a safe haven.,180,89,91,Negative,Needs improvement,Failed,U10240,Retail,Europe,Tablet,44,False,3,Detractor
118,2020-03-23 13:05,What's the trend with Tesla?,Risk Analysis,Tesla shows bullish signs.,185,88,92,Positive,Helpful,Successful,U10218,Retail,Asia,Desktop,57,False,10,Promoter
119,2020-04-28 17:26,What is your prediction for Bonds?,Portfolio Management,Bond yields are increasing.,190,87,93,Positive,Helpful,Successful,U10023,Institutional,Europe,Mobile,11,False,10,Promoter
120,2022-08-24 10:37,Should I diversify with NASDAQ?,Stock Prediction,NASDAQ shows investor optimism.,195,86,94,Neutral,Needs improvement,Failed,U10180,Retail,South America,Mobile,48,False,7,Passive
121,2020-09-05 15:04,What's the trend with Commodities?,Financial Advice,Commodity markets are steady.,150,95,90,Positive,Helpful,Successful,U10246,Retail,Asia,Mobile,18,False,10,Promoter
122,2024-10-02 15:42,What is your prediction for AAPL?,Forex Analysis,AAPL earnings beat expectations.,155,94,91,Positive,Helpful,Successful,U10163,Retail,Europe,Mobile,11,False,10,Promoter
123,2021-04-10 13:54,Should I buy or sell MSFT?,Cryptocurrency Update,MSFT outlook is positive this quarter.,160,93,92,Positive,Helpful,Successful,U10096,Retail,North America,Desktop,30,True,10,Promoter
124,2022-07-23 14:20,What's the price of GBP now?,Portfolio Management,GBP trends show minor fluctuations.,165,92,93,Positive,Helpful,Successful,U10024,VIP,Middle East,Mobile,33,False,10,Promoter
125,2023-05-08 10:12,How is BTC trending today?,Future Investment,BTC shows positive momentum today.,170,91,94,Negative,Needs improvement,Failed,U10198,Retail,Europe,Mobile,19,False,3,Detractor
126,2021-10-04 11:06,What's the trend with GBP?,Market Analysis,GBP is gaining against EUR.,175,90,90,Negative,Needs improvement,Failed,U10091,Retail,Middle East,Mobile,3,True,3,Detractor
127,2021-08-15 14:26,What's the price of GBP now?,Financial Advice,GBP trends show minor fluctuations.,180,89,91,Negative,Needs improvement,Failed,U10180,Retail,South America,Mobile,48,False,3,Detractor
128,2020-09-12 12:28,Market outlook for MSFT?,Regulation Inquiry,MSFT shows growth potential.,185,88,92,Positive,Helpful,Successful,U10127,VIP,South America,Mobile,53,False,10,Promoter
129,2022-08-09 10:05,Analysis of EUR?,Strategy Advice,EUR is holding steady.,190,87,93,Positive,Helpful,Successful,U10206,Retail,South America,Desktop,24,False,10,Promoter
130,2021-11-10 09:13,What's your take on Crypto?,Price Check,Crypto markets show mixed performance.,195,86,94,Positive,Helpful,Successful,U10105,Institutional,Africa,Mobile,57,False,10,Promoter
131,2022-03-03 12:22,Give me an update on AAPL.,Market Analysis,AAPL earnings beat expectations.,150,95,90,Negative,Needs improvement,Failed,U10012,Retail,Asia,Mobile,16,True,3,Detractor
132,2023-09-02 13:16,What is your prediction for Oil?,Strategy Advice,Oil prices are rising.,155,94,91,Negative,Needs improvement,Failed,U10261,Retail,Middle East,Mobile,2,False,3,Detractor
133,2021-01-13 16:35,Should I buy or sell Tesla?,Sell Order,Tesla shows bullish signs.,160,93,92,Positive,Helpful,Successful,U10105,Institutional,Africa,Mobile,57,False,10,Promoter
134,2024-04-04 16:06,What's your take on BTC?,Portfolio Management,BTC shows positive momentum today.,165,92,93,Positive,Helpful,Successful,U10299,Institutional,Middle East,Mobile,31,False,10,Promoter
135,2021-02-01 09:53,How is USD trending today?,Financial Advice,USD remains stable.,170,91,94,Positive,Helpful,Successful,U10082,Institutional,South America,Mobile,5,False,10,Promoter
136,2021-03-07 15:23,Should I buy or sell Oil?,Buy Order,Oil prices are rising.,175,90,90,Negative,Needs improvement,Failed,U10294,Retail,Europe,Desktop,16,False,3,Detractor
137,2020-10-19 13:58,Market outlook for Tesla?,Stock Prediction,Tesla stock remains volatile.,180,89,91,Negative,Needs improvement,Failed,U10284,VIP,Middle East,Mobile,38,False,3,Detractor
138,2020-01-03 12:57,What's the price of Oil now?,Price Check,Oil shows demand increase.,185,88,92,Positive,Helpful,Successful,U10022,Retail,South America,Desktop,35,False,10,Promoter
139,2023-03-03 14:07,Should I diversify with EUR?,Market Analysis,EUR is showing mild weakness today.,190,87,93,Positive,Helpful,Successful,U10191,Retail,North America,Mobile,28,True,10,Promoter
140,2020-08-02 11:59,Give me an update on SPX.,Future Investment,SPX shows mixed market signals.,195,86,94,Positive,Helpful,Successful,U10108,Institutional,North America,Mobile,28,False,10,Promoter
141,2024-07-27 15:31,Should I diversify with Commodities?,Price Check,Commodity markets are steady.,150,95,90,Positive,Helpful,Successful,U10240,Retail,Europe,Tablet,44,False,10,Promoter
142,2020-07-22 15:11,What's the price of WTI now?,Risk Analysis,WTI is showing high volatility.,155,94,91,Positive,Helpful,Successful,U10203,Institutional,South America,Desktop,41,True,10,Promoter
143,2022-04-06 13:17,What's the price of GOOGL now?,Future Investment,GOOGL remains a solid long-term pick.,160,93,92,Neutral,Needs improvement,Failed,U10285,VIP,Europe,Desktop,43,False,7,Passive
144,2023-03-02 12:41,Analysis of Gold?,Risk Analysis,Investors are flocking to Gold.,165,92,93,Positive,Helpful,Successful,U10042,Retail,Europe,Mobile,60,True,10,Promoter
145,2022-08-14 17:30,What's your take on Tesla?,Price Check,Tesla stock remains volatile.,170,91,94,Positive,Helpful,Successful,U10182,VIP,Asia,Mobile,33,False,10,Promoter
146,2020-02-09 15:08,What's the trend with Equities?,Portfolio Management,Equity markets are stabilizing.,175,90,90,Negative,Needs improvement,Failed,U10234,Institutional,Europe,Desktop,21,False,3,Detractor
147,2023-04-21 17:15,Should I diversify with Crypto?,Market Analysis,Volatility remains high in crypto.,180,89,91,Positive,Helpful,Successful,U10010,Institutional,Europe,Mobile,54,False,10,Promoter
148,2024-01-13 14:30,What is your prediction for ETH?,Buy Order,ETH is showing a downward trend.,185,88,92,Positive,Helpful,Successful,U10020,Institutional,South America,Mobile,5,False,10,Promoter
